date;NO2_ASE;NO2_QDP

2021-10-25 14:00;29448.64583;34.9

2021-10-25 15:00;29467.74173;31.5

2021-10-25 16:00;29406.1875;47.3

2021-10-25 17:00;29365.20313;49.1

2021-10-25 18:00;29265.80882;68.2

2021-10-25 19:00;29249.04688;63.2

2021-10-25 20:00;29287.74265;51.4

2021-10-25 21:00;29282.04688;51.8

2021-10-25 22:00;29306.60754;43.6

2021-10-25 23:00;29328.21875;36.2

2021-10-26 00:00;29357.20313;28.6

2021-10-26 01:00;29357.94393;29.5

2021-10-26 02:00;29357.75;27

2021-10-26 03:00;29318.44393;38.6

2021-10-26 04:00;29311.89063;44.7

2021-10-26 05:00;29343.52665;39.1

2021-10-26 06:00;29284.73438;56.6

2021-10-26 07:00;29239.01563;66.6

2021-10-26 08:00;29269.15349;57.1

2021-10-26 09:00;29321.20313;39.2

2021-10-26 10:00;29318.81618;41.2

2021-10-26 11:00;29323.4375;35.7

2021-10-26 12:00;29333.02757;34.7

2021-10-26 13:00;29349.28125;35.8

2021-10-26 14:00;29367.98438;34.5

2021-10-26 15:00;29351.39798;50.4

2021-10-26 16:00;29290.03125;73.7

2021-10-26 17:00;29272.87408;72.6

2021-10-26 18:00;29293.10938;59.3

2021-10-26 19:00;29296.89063;55.8

2021-10-26 20:00;29350.32813;33.7

2021-10-26 21:00;29368.34375;25.2

2021-10-26 22:00;29355.57261;28.4

2021-10-26 23:00;29394.51563;14.5

2021-10-27 00:00;29407.25643;12.3

2021-10-27 01:00;29410.0625;10.2

2021-10-27 02:00;29388.51563;17.2

2021-10-27 03:00;29388.08364;16.6

2021-10-27 04:00;29368.85938;23.6

2021-10-27 05:00;29346.19393;31.1

2021-10-27 06:00;29322.5;41.8

2021-10-27 07:00;29333.95037;38.3

2021-10-27 08:00;29347.84375;33.9

2021-10-27 09:00;29369.84191;25.9

2021-10-27 10:00;29380.41667;24.9

2021-10-27 11:00;29414.76563;19.1

2021-10-27 12:00;29450.22243;14.4

2021-10-27 13:00;29443.98438;19.2

2021-10-27 14:00;29440.56066;19.3

2021-10-27 15:00;29457.35938;22.9

2021-10-27 16:00;29441.26563;28.7

2021-10-27 17:00;29330.25919;53.5

2021-10-27 18:00;29277.78125;58.5

2021-10-27 19:00;29299.56893;46.8

2021-10-27 20:00;29323.85938;37.4

2021-10-27 21:00;29331.25092;35.9

2021-10-27 22:00;29366.07813;24.4

2021-10-27 23:00;29378.4375;20.3

2021-10-28 00:00;29385.75919;18.1

2021-10-28 01:00;29391.17188;14.5

2021-10-28 02:00;29397.59559;12.1

2021-10-28 03:00;29397.53125;12.5

2021-10-28 04:00;29392.14154;16.5

2021-10-28 05:00;29360.46875;27.7

2021-10-28 06:00;29337.21875;37.3

